,usdrub,gold,cb_key_rate,fed_rate,imoex_open,imoex_close,ru_cpi,us_cpi,workday,first_workday,second_workday,imoex_vol,ru_monetary,us_monetary
06.10.2015,65.6248,2393.35,11.0,0.25,1652.49,1670.69,100.74,99.90114960901516,workday,0,1,18.200000000000045,2.1200000000000614,1.436204691818034
07.10.2015,65.0962,2379.41,11.0,0.25,1670.68,1679.49,100.74,99.90114960901516,workday,0,0,8.809999999999945,2.1200000000000614,1.436204691818034
08.10.2015,62.7061,2314.22,11.0,0.25,1679.36,1689.32,100.74,99.90114960901516,workday,0,0,9.960000000000036,2.1200000000000614,1.436204691818034
09.10.2015,62.2942,2289.81,11.0,0.25,1690.66,1728.44,100.74,99.90114960901516,workday,0,0,37.77999999999997,2.1200000000000614,1.436204691818034
12.10.2015,62.2942,2289.81,11.0,0.25,1728.43,1710.6,100.74,99.90114960901516,workday,1,0,-17.830000000000155,2.1200000000000614,1.436204691818034
13.10.2015,61.1535,2288.97,11.0,0.25,1710.6,1720.81,100.74,99.90114960901516,workday,0,1,10.210000000000036,2.1200000000000614,1.436204691818034
14.10.2015,62.2237,2309.42,11.0,0.25,1720.8,1723.01,100.74,99.90114960901516,workday,0,0,2.2100000000000364,2.1200000000000614,1.436204691818034
15.10.2015,63.1248,2382.03,11.0,0.25,1722.84,1731.91,100.74,99.90114960901516,workday,0,0,9.070000000000164,2.1200000000000614,1.436204691818034
16.10.2015,62.2433,2368.08,11.0,0.25,1731.9,1717.0,100.74,99.90114960901516,workday,0,0,-14.900000000000091,2.1200000000000614,1.436204691818034
19.10.2015,62.2433,2368.08,11.0,0.25,1717.09,1716.08,100.74,99.90114960901516,workday,1,0,-1.009999999999991,2.1200000000000614,1.436204691818034
20.10.2015,61.4419,2314.48,11.0,0.25,1716.15,1722.62,100.74,99.90114960901516,workday,0,1,6.4699999999998,2.1200000000000614,1.436204691818034
21.10.2015,62.162,2345.7,11.0,0.25,1722.7,1709.94,100.74,99.90114960901516,workday,0,0,-12.759999999999991,2.1200000000000614,1.436204691818034
22.10.2015,62.6309,2364.81,11.0,0.25,1709.93,1712.1,100.74,99.90114960901516,workday,0,0,2.1699999999998454,2.1200000000000614,1.436204691818034
23.10.2015,62.7888,2354.72,11.0,0.25,1713.65,1725.45,100.74,99.90114960901516,workday,0,0,11.799999999999955,2.1200000000000614,1.436204691818034
26.10.2015,62.7888,2354.72,11.0,0.25,1725.51,1712.13,100.74,99.90114960901516,workday,1,0,-13.379999999999882,2.1200000000000614,1.436204691818034
27.10.2015,62.5038,2348.15,11.0,0.25,1712.23,1725.89,100.74,99.90114960901516,workday,0,1,13.660000000000082,2.1200000000000614,1.436204691818034
28.10.2015,63.5004,2379.98,11.0,0.25,1725.91,1726.61,100.74,99.90114960901516,workday,0,0,0.6999999999998181,2.1200000000000614,1.436204691818034
29.10.2015,65.3159,2460.1,11.0,0.25,1725.9,1708.6,100.74,99.90114960901516,workday,0,0,-17.300000000000182,2.1200000000000614,1.436204691818034
30.10.2015,64.1686,2391.09,11.0,0.25,1708.51,1711.53,100.74,99.90114960901516,workday,0,0,3.019999999999982,2.1200000000000614,1.436204691818034
02.11.2015,64.1686,2391.09,11.0,0.25,1710.9,1735.75,100.75,99.88068079170816,workday,1,0,24.84999999999991,2.0,1.681830499502098
03.11.2015,63.7993,2329.75,11.0,0.25,1735.76,1763.6,100.75,99.88068079170816,workday,0,1,27.839999999999918,2.0,1.681830499502098
05.11.2015,63.7993,2329.75,11.0,0.25,1764.94,1766.28,100.75,99.88068079170816,workday,1,0,1.3399999999999181,2.0,1.681830499502098
06.11.2015,63.3991,2257.04,11.0,0.25,1766.18,1754.36,100.75,99.88068079170816,workday,0,1,-11.820000000000164,2.0,1.681830499502098
09.11.2015,63.3991,2257.04,11.0,0.25,1754.19,1751.44,100.75,99.88068079170816,workday,1,0,-2.75,2.0,1.681830499502098
10.11.2015,64.6606,2277.63,11.0,0.25,1751.45,1746.94,100.75,99.88068079170816,workday,0,1,-4.509999999999991,2.0,1.681830499502098
11.11.2015,64.3908,2261.71,11.0,0.25,1747.02,1740.56,100.75,99.88068079170816,workday,0,0,-6.460000000000036,2.0,1.681830499502098
12.11.2015,64.5693,2259.88,11.0,0.25,1739.29,1739.96,100.75,99.88068079170816,workday,0,0,0.6700000000000728,2.0,1.681830499502098
13.11.2015,65.4541,2288.74,11.0,0.25,1739.84,1728.17,100.75,99.88068079170816,workday,0,0,-11.669999999999845,2.0,1.681830499502098
16.11.2015,65.4541,2288.74,11.0,0.25,1728.12,1739.8,100.75,99.88068079170816,workday,1,0,11.680000000000064,2.0,1.681830499502098
17.11.2015,66.4607,2338.68,11.0,0.25,1740.98,1787.23,100.75,99.88068079170816,workday,0,1,46.25,2.0,1.681830499502098
18.11.2015,65.4799,2275.33,11.0,0.25,1787.11,1810.48,100.75,99.88068079170816,workday,0,0,23.37000000000012,2.0,1.681830499502098
19.11.2015,64.7785,2229.5,11.0,0.25,1811.89,1811.2,100.75,99.88068079170816,workday,0,0,-0.6900000000000546,2.0,1.681830499502098
20.11.2015,64.912,2239.53,11.0,0.25,1810.03,1826.72,100.75,99.88068079170816,workday,0,0,16.690000000000055,2.0,1.681830499502098
23.11.2015,64.912,2239.53,11.0,0.25,1826.87,1868.07,100.75,99.88068079170816,workday,1,0,41.200000000000045,2.0,1.681830499502098
24.11.2015,65.5973,2253.15,11.0,0.25,1868.08,1810.05,100.75,99.88068079170816,workday,0,1,-58.02999999999997,2.0,1.681830499502098
25.11.2015,65.621,2263.78,11.0,0.25,1810.02,1833.53,100.75,99.88068079170816,workday,0,0,23.50999999999999,2.0,1.681830499502098
26.11.2015,65.4789,2257.19,11.0,0.25,1833.97,1828.3,100.75,99.88068079170816,workday,0,0,-5.670000000000073,2.0,1.681830499502098
27.11.2015,65.6836,2260.66,11.0,0.25,1828.32,1795.7,100.75,99.88068079170816,workday,0,0,-32.61999999999989,2.0,1.681830499502098
30.11.2015,65.6836,2260.66,11.0,0.25,1794.25,1771.05,100.75,99.88068079170816,workday,1,0,-23.200000000000045,2.0,1.681830499502098
01.12.2015,66.737,2265.05,11.0,0.25,1771.05,1772.97,100.77,100.10767114875864,workday,0,1,1.9200000000000728,1.7600000000000477,-1.0420537851036897
02.12.2015,66.2584,2277.78,11.0,0.25,1773.49,1770.13,100.77,100.10767114875864,workday,0,0,-3.3599999999999,1.7600000000000477,-1.0420537851036897
03.12.2015,66.7402,2289.3,11.0,0.25,1770.1,1787.23,100.77,100.10767114875864,workday,0,0,17.13000000000011,1.7600000000000477,-1.0420537851036897
04.12.2015,67.7691,2289.07,11.0,0.25,1786.55,1755.22,100.77,100.10767114875864,workday,0,0,-31.329999999999927,1.7600000000000477,-1.0420537851036897
07.12.2015,67.7691,2289.07,11.0,0.25,1756.11,1741.14,100.77,100.10767114875864,workday,1,0,-14.9699999999998,1.7600000000000477,-1.0420537851036897
08.12.2015,68.5156,2385.0,11.0,0.25,1740.64,1718.77,100.77,100.10767114875864,workday,0,1,-21.87000000000012,1.7600000000000477,-1.0420537851036897
09.12.2015,69.3026,2388.0,11.0,0.25,1719.84,1733.09,100.77,100.10767114875864,workday,0,0,13.25,1.7600000000000477,-1.0420537851036897
10.12.2015,69.2,2399.26,11.0,0.25,1732.65,1732.89,100.77,100.10767114875864,workday,0,0,0.2400000000000091,1.7600000000000477,-1.0420537851036897
11.12.2015,69.2151,2385.54,11.0,0.25,1732.9,1720.31,100.77,100.10767114875864,workday,0,0,-12.590000000000146,1.7600000000000477,-1.0420537851036897
14.12.2015,69.2151,2385.54,11.0,0.25,1720.37,1708.7,100.77,100.10767114875864,workday,1,0,-11.669999999999845,1.7600000000000477,-1.0420537851036897
15.12.2015,70.2244,2411.29,11.0,0.25,1708.89,1742.46,100.77,100.10767114875864,workday,0,1,33.569999999999936,1.7600000000000477,-1.0420537851036897
16.12.2015,70.8295,2434.69,11.0,0.25,1743.03,1754.71,100.77,100.10767114875864,workday,0,0,11.680000000000064,1.7600000000000477,-1.0420537851036897
17.12.2015,70.4012,2412.27,11.0,0.5,1754.74,1780.97,100.77,100.10767114875864,workday,0,0,26.230000000000018,1.7600000000000477,-0.7920537851036897
18.12.2015,70.5806,2418.65,11.0,0.5,1779.42,1719.16,100.77,100.10767114875864,workday,0,0,-60.25999999999999,1.7600000000000477,-0.7920537851036897
21.12.2015,70.5806,2418.65,11.0,0.5,1719.44,1716.91,100.77,100.10767114875864,workday,1,0,-2.5299999999999727,1.7600000000000477,-0.7920537851036897
22.12.2015,71.2553,2453.91,11.0,0.5,1716.92,1723.35,100.77,100.10767114875864,workday,0,1,6.429999999999836,1.7600000000000477,-0.7920537851036897
23.12.2015,71.1211,2462.66,11.0,0.5,1718.65,1747.85,100.77,100.10767114875864,workday,0,0,29.199999999999818,1.7600000000000477,-0.7920537851036897
24.12.2015,70.9333,2443.62,11.0,0.5,1747.86,1742.71,100.77,100.10767114875864,workday,0,0,-5.149999999999864,1.7600000000000477,-0.7920537851036897
25.12.2015,69.5165,2395.7,11.0,0.5,1743.77,1734.21,100.77,100.10767114875864,workday,0,0,-9.559999999999945,1.7600000000000477,-0.7920537851036897
